Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
6601,40,98.37326813,668.7479508,196,2396.760405,561.6458962,18633.75544,712.5,1628.48437,549.0333919,20232.18611,6769.463475,140.4994145,3169.656616,11.16446281,23.78456825,158.3628098,807.7495863,5287.307033,2702.099297,3104.350489,5190.375995,0,379.5055499,1651.810035,579.5442478,1149.710243,997.6593558,1306.163285,16724.62431,8.094339623,346.5321984,181.7661773,388.028866,0,113.4045394,0,364.4444444,3.673057518,125.1332139,0,81.89300412
6602,40,87.6805216,610.4692623,216,2366.919112,599.4427169,19081.03728,610.7142857,1420.812109,472.0855302,19749.21171,6722.259055,198.7552693,3191.683417,8.618181818,13.30323309,161.3421391,1034.335356,5071.183533,2594.776967,2889.826437,5058.091666,0,400.4288597,1438.145391,637.6815975,1265.044156,1098.821301,1267.685382,15788.42811,13.87601078,333.6106588,161.2854812,330.8876289,0,111.7489987,0,330.2777778,3.390514632,273.6726404,0,80.65843621
6603,40,68.43357783,562.5512295,197.6666667,2240.984785,661.9779587,19701.33215,411.9897959,1115.931556,455.4481547,19049.73155,6846.389196,179.9077869,3548.517588,6.659504132,8.868822059,135.5881293,1268.808605,5390.222985,2273.439435,2810.265089,4890.677889,47.56097561,374.4550959,1200.355812,640.7404483,1271.112359,1149.444199,1347.492545,15462.92423,16.18867925,339.4840859,131.8444807,241.8536082,0,100.987984,0,216.3888889,3.390514632,435.7156511,0.789949749,78.80658436
6604,40,62.01792991,515.1188525,168.6666667,2268.63104,657.1773496,20006.68476,411.9897959,992.7028628,461.6871705,18885.96437,6725.755678,187.1421741,3755.569514,1.175206612,6.046924131,134.986534,1815.64396,5742.71012,1951.629811,2891.284367,4661.238679,0,354.974773,1188.293344,624.437487,1238.770253,1236.785085,1347.349039,15812.42911,20.81401617,340.6587713,193.2865688,198.0010309,0,76.98264352,0,125.2777778,4.803229062,570.7514934,4.739698492,73.66255144
6605,40,74.84922575,535.3545082,171.6666667,2148.604182,658.8454094,22127.67497,547.7040816,944.0987167,413.8547159,20179.44752,6402.317986,307.2710773,4160.862647,0.979338843,6.046924131,146.388198,2498.179812,5753.001715,1856.267154,3036.452585,4436.19065,18.29268293,359.3037336,1011.844687,456.925237,906.4564561,1349.292212,1300.425515,16411.66998,48.56603774,280.749815,221.4475258,191.356701,0,41.8024032,2.134453782,79.72222222,7.628657921,943.4504182,4.739698492,62.75720165
6606,40,62.01792991,478.6946721,189,2172.737184,605.9899963,23503.2901,538.0102041,855.727542,272.437024,22338.95374,6269.446286,415.9772639,4596.9933,0.391735537,11.69071999,186.5518484,2748.876172,5650.085763,1838.957101,3260.973875,4066.782545,18.29268293,370.1261352,841.5675242,291.743465,578.765903,1477.612734,1188.477353,17163.23097,67.06738544,244.334567,222.7275693,167.4371134,0,36.42189586,0,56.94444444,11.58425832,1380.066308,1.579899497,48.55967078
6607,40,64.15647922,379.4590164,204.6666667,2102.094906,571.2018313,23955.28764,411.9897959,714.3336624,235.0029291,23335.43539,6021.186004,518.9720921,4861.314908,0.195867769,22.17205515,186.3513166,2382.646167,5073.756432,1953.675544,4148.436971,3639.740188,36.58536585,452.3763875,829.1310263,159.9543239,317.3202482,1562.691697,1156.783028,16945.33946,62.44204852,219.6661732,197.1266993,175.4103093,0,41.8024032,0,22.77777778,9.323915237,2177.678017,6.31959799,28.60082305
6608,40,76.98777506,284.5942623,213.3333333,1895.82492,498.7369041,24117.3666,479.8469388,676.0394867,253.7199766,23007.90103,5564.876611,576.2760539,5059.556114,0.391735537,26.60646618,173.9756411,2117.967457,3481.132075,1829.043162,5005.491802,2771.933034,40.24390244,556.9929364,845.6818543,88.65031051,175.8660713,1460.447826,1110.85394,15829.99848,41.62803235,118.6432272,171.5258293,163.4505155,0,62.49666222,2.134453782,0,6.781029263,2245.195938,58.45628141,31.89300412
6609,40,79.12632437,197.5,223.3333333,1621.683703,452.6561424,24387.53865,567.0918367,658.8562027,282.8353837,22408.34661,4904.014733,573.8011319,4982.462312,8.226446281,27.00959445,162.6599194,2422.262824,3692.109777,1468.521964,5469.321963,1810.813283,40.24390244,626.2563068,835.8635665,33.75806401,66.96985107,1108.532187,907.5447059,14568.29841,24.28301887,59.90895633,200.9668298,156.8061856,0,78.63818425,6.403361345,0,7.063572149,1968.822581,28.43819095,27.98353909
6610,40,117.6202119,111.3770492,200.6666667,1858.886364,502.377208,25506.5475,411.9897959,617.6163212,276.5963679,20740.14194,4307.840393,618.5401054,5914.19598,12.73140496,72.1599613,179.1321726,2894.615279,3627.787307,1209.185895,5828.18113,1226.237307,51.2195122,655.8375378,564.1307637,12.25218837,24.3061104,792.6658195,902.7882689,12534.48746,25.4393531,27.01776462,311.050571,156.8061856,0,82.36315087,14.94117647,0,7.346115035,1694.249701,20.53869347,13.99176955
6611,40,228.8247759,43.54713115,166,2279.250234,533.0824174,25964.19319,208.4183673,576.3764396,301.5524312,23957.19554,3767.612032,664.9924863,6704.958124,5.876033058,133.8385874,167.1002659,2867.188362,3298.456261,937.103332,6641.706324,825.5420364,54.87804878,665.2169526,279.774448,4.24214827,8.415649598,725.6971281,1019.760387,10260.66643,5.781671159,31.71650629,363.5323545,144.8463918,0,95.19359146,25.61344538,11.38888889,7.911200807,1560.114098,67.14572864,2.880658436
6612,40,404.1858191,14.56967213,182.3333333,2165.488703,506.2475814,25513.72925,203.5714286,648.0552813,368.1019332,25683.69022,3234.376918,857.6556401,7515.544389,0.195867769,158.8325405,105.7375418,3002.082184,2760.720412,750.7842144,7140.110264,436.922514,51.2195122,670.9889001,234.9843543,2.129122212,4.223790718,746.212477,1198.180156,8939.983484,2.312668464,37.58993338,408.3338771,172.7525773,0,95.19359146,27.74789916,22.77777778,11.01917255,1684.347073,82.15477387,2.263374486
6613,40,440.5411573,3.237704918,146.3333333,1868.775292,484.6454753,25648.18339,285.9693878,837.562356,551.1130639,27973.65504,2870.728054,1032.042447,8779.882747,0.195867769,120.5353543,79.63976327,3225.261997,1795.883362,814.674047,7856.578944,495.1056628,36.58536585,676.0393542,322.3203618,10.93234049,21.68777256,936.2446403,1128.364035,8765.231044,6.938005391,51.6861584,480.0163132,212.6185567,0,83.60480641,29.88235294,34.16666667,12.71442987,1477.292115,49.76683417,1.028806584
